Airline,Destination,Type of Flight,Flight Count
ALASKA,Los Angeles,On Time,497
ALASKA,Los Angeles,Delayed,62
AM WEST,Los Angeles,On Time,694
AM WEST,Los Angeles,Delayed,117
ALASKA,Phoenix,On Time,221
ALASKA,Phoenix,Delayed,12
AM WEST,Phoenix,On Time,4840
AM WEST,Phoenix,Delayed,415
ALASKA,San Diego,On Time,212
ALASKA,San Diego,Delayed,20
AM WEST,San Diego,On Time,383
AM WEST,San Diego,Delayed,65
ALASKA,San Francisco,On Time,503
ALASKA,San Francisco,Delayed,102
AM WEST,San Francisco,On Time,320
AM WEST,San Francisco,Delayed,129
ALASKA,Seattle,On Time,1841
ALASKA,Seattle,Delayed,305
AM WEST,Seattle,On Time,201
AM WEST,Seattle,Delayed,61